source,target,type,id,label,weight,cost,invcost
50499,50505,Directed,178039,,19.94,0.05,19.94
50499,50495,Directed,178178,,19.95,0.05,19.95
50499,50512,Directed,178027,,19.87,0.11,19.87
50498,50188,Directed,183088,,19.94,0.06,19.94
50188,50369,Directed,175429,,12.06,5.62,12.06
50188,50107,Directed,176261,,12.75,5.14,12.75
50188,50498,Directed,179193,,19.96,0.04,19.96
50188,50495,Directed,183087,,19.94,0.05,19.94
50493,50107,Directed,183058,,19.97,0.04,19.97
50493,50495,Directed,179181,,19.99,0.02,19.99
50495,50499,Directed,183002,,19.96,0.04,19.96
50495,50188,Directed,179192,,19.95,0.05,19.95
50495,50493,Directed,178962,,19.98,0.03,19.98
50264,50167,Directed,183017,,19.95,0.05,19.95
50264,50487,Directed,178001,,19.7,0.23,19.7
50264,50449,Directed,177986,,19.56,0.32,19.56
50264,50398,Directed,175127,,12.84,5.07,12.84
50264,50040,Directed,178284,,19.94,0.06,19.94
50264,50250,Directed,179130,,19.91,0.08,19.91
50264,50269,Directed,175293,,13.35,4.71,13.35
50239,50398,Directed,175940,,14.9,3.62,14.9
50015,50393,Directed,175212,,16.86,2.23,16.86
50015,50132,Directed,176028,,18.1,1.36,18.1
50255,50175,Directed,177334,,20.0,0.02,20.0
50255,50357,Directed,179139,,20.01,0.01,20.01
50255,50381,Directed,175206,,18.77,0.89,18.77
50175,50255,Directed,179138,,20.0,0.02,20.0
50175,50378,Directed,177331,,19.99,0.02,19.99
50177,50173,Directed,175203,,18.64,0.98,18.64
50177,50109,Directed,176019,,18.6,1.01,18.6
50047,50324,Directed,175243,,15.31,3.33,15.31
50047,50110,Directed,175932,,18.63,0.98,18.63
50378,50327,Directed,175186,,15.41,3.26,15.41
50378,50286,Directed,183015,,19.94,0.06,19.94
50378,50175,Directed,179137,,19.99,0.02,19.99
50378,50322,Directed,179188,,19.96,0.05,19.96
50714,50505,Directed,183077,,19.93,0.06,19.93
50714,50516,Directed,179183,,19.52,0.35,19.52
50173,50327,Directed,175185,,16.53,2.47,16.53
50173,50177,Directed,176017,,18.64,0.98,18.64
50122,50425,Directed,175223,,17.87,1.52,17.87
50122,50043,Directed,176038,,17.41,1.84,17.41
50761,50134,Directed,179167,,19.95,0.05,19.95
50761,50489,Directed,179163,,19.98,0.03,19.98
50761,50307,Directed,179166,,19.96,0.05,19.96
50393,50327,Directed,175157,,18.61,0.99,18.61
50393,50015,Directed,176026,,16.86,2.23,16.86
50324,50327,Directed,175192,,16.47,2.51,16.47
50324,50047,Directed,176057,,15.31,3.33,15.31
50366,50279,Directed,175235,,17.53,1.76,17.53
50366,50171,Directed,176047,,12.83,5.08,12.83
50507,50505,Directed,178501,,19.97,0.04,19.97
50507,50715,Directed,183075,,19.98,0.03,19.98
50715,50507,Directed,178500,,19.97,0.04,19.97
50715,50513,Directed,183074,,19.96,0.04,19.96
50398,50264,Directed,175941,,12.84,5.07,12.84
50398,50239,Directed,175126,,14.9,3.62,14.9
50040,50264,Directed,183018,,19.92,0.07,19.92
50040,50031,Directed,175297,,16.56,2.45,16.56
50040,50250,Directed,178291,,19.98,0.03,19.98
50040,50269,Directed,176141,,18.54,1.05,18.54
50040,50037,Directed,177025,,19.66,0.26,19.66
50022,50110,Directed,183038,,19.96,0.04,19.96
50022,50171,Directed,179147,,19.97,0.03,19.97
50022,50201,Directed,179244,,19.91,0.08,19.91
50081,50010,Directed,175200,,18.8,0.86,18.8
50104,50357,Directed,175473,,18.09,1.36,18.09
50104,50113,Directed,175973,,18.26,1.24,18.26
50132,50015,Directed,175214,,18.1,1.36,18.1
50132,50205,Directed,176029,,19.13,0.63,19.13
50357,50255,Directed,177336,,20.01,0.01,20.01
50357,50104,Directed,176287,,18.09,1.36,18.09
50357,50136,Directed,179140,,19.98,0.03,19.98
50010,50081,Directed,176014,,18.8,0.86,18.8
50010,50205,Directed,175199,,16.54,2.46,16.54
50110,50047,Directed,175118,,18.63,0.98,18.63
50110,50022,Directed,179146,,19.95,0.05,19.95
50110,50049,Directed,183037,,19.98,0.03,19.98
50205,50132,Directed,175215,,19.13,0.63,19.13
50205,50010,Directed,176013,,16.54,2.46,16.54
50205,50049,Directed,176008,,18.13,1.33,18.13
50136,50357,Directed,177350,,19.98,0.03,19.98
50136,50256,Directed,177253,,20.01,0.01,20.01
50136,50322,Directed,176022,,19.7,0.22,19.7
50256,50136,Directed,177351,,20.01,0.01,20.01
50256,50322,Directed,179141,,20.01,0.01,20.01
50322,50286,Directed,183086,,19.89,0.09,19.89
50322,50378,Directed,183084,,19.95,0.05,19.95
50322,50136,Directed,175208,,19.7,0.22,19.7
50322,50256,Directed,177352,,20.01,0.01,20.01
50322,50268,Directed,179142,,20.0,0.02,20.0
50322,50762,Directed,179189,,19.95,0.05,19.95
50268,50322,Directed,177683,,20.0,0.02,20.0
50268,50312,Directed,179143,,20.0,0.01,20.0
50268,50278,Directed,175975,,17.94,1.47,17.94
50312,50268,Directed,177699,,20.0,0.01,20.0
50312,50335,Directed,178307,,19.98,0.03,19.98
50109,50177,Directed,175205,,18.6,1.01,18.6
50109,50381,Directed,176018,,18.14,1.33,18.14
50049,50110,Directed,179145,,19.98,0.03,19.98
50049,50205,Directed,175194,,18.13,1.33,18.13
50049,50336,Directed,179243,,19.87,0.11,19.87
50381,50255,Directed,176020,,18.77,0.89,18.77
50381,50109,Directed,175204,,18.14,1.33,18.14
50176,50031,Directed,176094,,14.53,3.88,14.53
50176,50250,Directed,183021,,19.91,0.08,19.91
50031,50040,Directed,176111,,16.56,2.45,16.56
50031,50176,Directed,175280,,14.53,3.88,14.53
50031,50250,Directed,176146,,18.66,0.96,18.66
50250,50483,Directed,177988,,19.62,0.28,19.62
50250,50482,Directed,177987,,19.62,0.28,19.62
50250,50716,Directed,177628,,19.74,0.2,19.74
50250,50264,Directed,183020,,19.89,0.09,19.89
50250,50040,Directed,183019,,19.97,0.04,19.97
50250,50176,Directed,179131,,19.91,0.07,19.91
50250,50031,Directed,175332,,18.66,0.96,18.66
50043,50122,Directed,175224,,17.41,1.84,17.41
50043,50174,Directed,176039,,16.66,2.37,16.66
50513,50715,Directed,178476,,19.93,0.06,19.93
50513,50456,Directed,183073,,19.97,0.04,19.97
50512,50505,Directed,178028,,19.81,0.15,19.81
50512,50499,Directed,177642,,19.82,0.14,19.82
50512,50456,Directed,183191,,19.94,0.06,19.94
50269,50264,Directed,176107,,13.35,4.71,13.35
50269,50040,Directed,175327,,18.54,1.05,18.54
50171,50366,Directed,175233,,12.83,5.08,12.83
50171,50022,Directed,183039,,19.98,0.03,19.98
50171,50042,Directed,179148,,19.98,0.03,19.98
50237,50308,Directed,175475,,18.34,1.19,18.34
50237,50241,Directed,176011,,17.38,1.87,17.38
50174,50043,Directed,175225,,16.66,2.37,16.66
50174,50307,Directed,176988,,19.6,0.3,19.6
50174,50308,Directed,175997,,18.31,1.21,18.31
50278,50268,Directed,175161,,17.94,1.47,17.94
50278,50335,Directed,175976,,19.42,0.43,19.42
50113,50104,Directed,175159,,18.26,1.24,18.26
50335,50312,Directed,182888,,19.98,0.03,19.98
50335,50278,Directed,175162,,19.42,0.43,19.42
50335,50417,Directed,176030,,4.94,10.66,4.94
50762,50286,Directed,183053,,19.82,0.14,19.82
50762,50322,Directed,183085,,19.95,0.05,19.95
50762,50326,Directed,179165,,19.52,0.36,19.52
50307,50134,Directed,179125,,19.91,0.08,19.91
50307,50761,Directed,183055,,19.96,0.04,19.96
50307,50174,Directed,176688,,19.18,0.59,19.18
50307,50241,Directed,183024,,19.98,0.03,19.98
50456,50505,Directed,179259,,19.79,0.16,19.79
50456,50513,Directed,178470,,19.96,0.04,19.96
50456,50512,Directed,179258,,19.93,0.06,19.93
50456,50455,Directed,183072,,19.98,0.03,19.98
50456,50516,Directed,179252,,19.91,0.08,19.91
50455,50456,Directed,178463,,19.98,0.03,19.98
50455,50516,Directed,183071,,19.94,0.06,19.94
50516,50505,Directed,179123,,19.43,0.42,19.43
50516,50714,Directed,183078,,19.5,0.37,19.5
50516,50456,Directed,183193,,19.92,0.07,19.92
50516,50455,Directed,179182,,19.94,0.05,19.94
50516,50326,Directed,179187,,20.01,0.01,20.01
50326,50762,Directed,183054,,19.49,0.37,19.49
50326,50516,Directed,183082,,20.01,0.01,20.01
50326,50521,Directed,178320,,19.98,0.03,19.98
50326,50417,Directed,183027,,19.59,0.3,19.59
50518,50336,Directed,183166,,19.96,0.04,19.96
50518,50201,Directed,179239,,19.96,0.04,19.96
50521,50326,Directed,183028,,19.97,0.04,19.97
50521,50523,Directed,178321,,19.99,0.02,19.99
50417,50335,Directed,175216,,4.94,10.66,4.94
50417,50326,Directed,178314,,19.59,0.3,19.59
50523,50521,Directed,183029,,19.99,0.02,19.99
50336,50049,Directed,183172,,19.88,0.1,19.88
50336,50518,Directed,179238,,19.95,0.05,19.95
50336,50089,Directed,175346,,16.0,2.84,16.0
50308,50237,Directed,176289,,18.34,1.19,18.34
50308,50174,Directed,175183,,18.31,1.21,18.31
50089,50336,Directed,176160,,16.0,2.84,16.0
50089,50201,Directed,175504,,16.8,2.27,16.8
50201,50022,Directed,183173,,19.91,0.08,19.91
50201,50518,Directed,183167,,19.97,0.04,19.97
50201,50089,Directed,176318,,16.8,2.27,16.8
50042,50171,Directed,183040,,19.98,0.03,19.98
50241,50237,Directed,175197,,17.38,1.87,17.38
50241,50307,Directed,179134,,19.99,0.02,19.99
50037,50040,Directed,176725,,19.29,0.51,19.29
